Tiempo,Temperatura (Â°C),Humedad (%),Distancia (cm),Ruido (dB),Hora
2025-06-06 19:07:52,28.5,61.5,0.0,34.87,
2025-06-06 19:07:54,28.5,61.6,22.36,37.86,
2025-06-06 19:07:56,28.5,61.7,22.34,37.95,
2025-06-06 19:07:58,28.5,61.7,22.36,38.97,
2025-06-06 19:08:00,28.5,61.7,64.52,35.24,
2025-06-06 19:08:02,28.5,61.7,22.36,37.77,
2025-06-06 19:08:04,28.5,61.7,22.34,38.48,
2025-06-06 19:08:06,28.5,61.8,791.33,35.12,
2025-06-06 19:08:08,28.5,61.7,791.38,35.24,
2025-06-06 19:08:10,28.5,61.7,22.36,39.2,
2025-06-06 19:08:12,28.5,61.7,22.25,38.04,
2025-06-06 19:08:14,28.5,61.6,22.24,36.7,
2025-06-06 19:08:17,28.5,61.6,791.3,32.2,
2025-06-06 19:10:35,28.6,62.7,0.0,36.7,
2025-06-06 19:10:37,28.6,62.5,58.77,36.39,
2025-06-06 19:10:39,28.6,62.3,62.56,35.84,
2025-06-06 19:10:41,28.6,62.2,22.34,38.81,
2025-06-06 19:10:43,28.6,62.1,72.01,34.87,
2025-06-06 19:10:45,28.6,62.2,58.92,36.6,
2025-06-06 19:10:47,28.6,62.1,71.21,37.01,
2025-06-06 19:13:59,28.8,62.7,0.0,38.56,
2025-06-06 19:14:01,28.8,62.5,55.56,36.5,
2025-06-06 19:14:03,28.8,62.4,56.54,38.48,
2025-06-06 19:18:38,28.6,61.2,0.0,38.64,
2025-06-06 19:18:40,28.6,61.1,791.28,36.28,
2025-06-06 19:18:46,28.6,61.1,67.3,35.84,
2025-06-06 19:18:46,28.6,61.1,791.25,36.5,
2025-06-06 19:18:47,28.6,61.1,67.54,34.61,
2025-06-06 19:18:49,28.6,61.1,791.15,34.48,
2025-06-06 19:18:52,28.6,61.1,791.33,33.78,
2025-06-06 19:18:53,28.6,61.1,791.04,35.84,
2025-06-06 19:18:55,28.6,61.0,791.15,33.34,
2025-06-06 19:18:57,28.6,61.1,791.15,34.87,
2025-06-06 19:19:00,28.6,61.1,791.15,34.74,
2025-06-06 19:19:01,28.6,61.1,59.21,38.72,
2025-06-06 19:20:55,28.5,61.4,0.0,37.95,
2025-06-06 19:20:57,28.5,61.4,791.15,33.64,
2025-06-06 19:20:59,28.5,61.3,791.18,36.39,
2025-06-06 19:21:01,28.5,61.3,791.2,34.48,
2025-06-06 19:21:03,28.5,61.3,791.25,35.6,
2025-06-06 19:21:09,28.5,61.3,791.25,33.93,
2025-06-06 19:21:10,28.5,61.3,791.03,33.34,
2025-06-06 19:21:11,28.5,61.3,791.1,33.93,
2025-06-06 19:22:28,28.5,61.5,0.0,34.21,
2025-06-06 19:22:30,28.5,61.4,791.11,35.12,
2025-06-06 19:22:32,28.5,61.4,791.27,34.74,
2025-06-06 19:23:09,28.5,61.4,0.0,37.49,
2025-06-06 19:23:15,28.5,61.4,791.13,34.21,
2025-06-06 19:23:15,28.5,61.5,791.33,34.61,
2025-06-06 19:23:16,28.5,61.4,791.18,35.6,
2025-06-06 19:23:17,28.5,61.5,791.2,37.01,
2025-06-06 19:23:20,28.5,61.4,287.35,35.12,
2025-06-06 19:23:21,28.5,61.4,791.28,34.48,
2025-06-06 19:23:23,28.5,61.4,791.21,38.56,
2025-06-06 19:25:50,28.5,61.4,0.0,36.5,
2025-06-06 19:25:52,28.5,61.5,11.36,36.6,
2025-06-06 19:25:54,28.4,61.5,11.36,38.97,
2025-06-06 19:25:56,28.5,61.4,11.36,37.68,
2025-06-06 19:25:58,28.5,61.4,11.36,38.39,
2025-06-06 19:26:00,28.5,61.4,11.36,37.4,
2025-06-06 19:26:02,28.4,61.3,11.36,37.01,
,28.5,63.4,0.0,35.6,2025-06-06 19:38:27
,28.5,63.1,11.36,39.28,2025-06-06 19:38:29
,28.5,62.5,11.46,39.51,2025-06-06 19:38:31
,28.5,62.2,11.36,39.43,2025-06-06 19:38:33
,28.5,62.0,11.46,36.5,2025-06-06 19:38:35
,28.5,61.9,11.36,38.56,2025-06-06 19:38:37
,28.5,61.8,11.46,37.68,2025-06-06 19:38:39
,28.5,61.8,11.36,39.13,2025-06-06 19:38:41
,28.5,61.8,11.46,37.21,2025-06-06 19:38:43
,28.5,61.8,11.36,38.13,2025-06-06 19:38:45
,28.5,61.7,216.38,36.39,2025-06-06 19:38:47
,28.5,61.7,15.74,41.97,2025-06-06 19:38:49
,28.5,62.1,17.31,38.81,2025-06-06 19:38:51
,28.5,62.5,139.06,40.83,2025-06-06 19:38:53
,28.5,62.2,16.05,42.25,2025-06-06 19:38:55
,28.5,61.9,15.73,38.56,2025-06-06 19:38:57
,28.5,61.7,8.3,37.68,2025-06-06 19:38:59
,28.5,61.9,8.4,37.4,2025-06-06 19:39:01
,28.5,62.1,8.42,37.86,2025-06-06 19:39:03
,28.5,61.9,8.3,38.64,2025-06-06 19:39:05
,28.5,61.7,10.0,39.43,2025-06-06 19:39:07
,28.5,61.6,8.4,38.56,2025-06-06 19:39:09
,28.5,61.6,8.4,38.31,2025-06-06 19:39:11
,28.5,61.7,8.3,38.04,2025-06-06 19:39:13
,28.5,61.9,10.12,38.72,2025-06-06 19:39:15
,28.5,62.4,10.1,37.49,2025-06-06 19:39:17
,28.5,62.3,8.3,38.89,2025-06-06 19:39:19
,28.5,62.0,8.4,37.77,2025-06-06 19:39:21
,28.5,61.9,8.3,38.22,2025-06-06 19:39:23
,28.5,61.8,8.3,38.48,2025-06-06 19:39:26
2025-06-06 19:43:03,28.4,61.6,0.0,37.86,
2025-06-06 19:43:05,28.4,61.6,8.4,38.48,
2025-06-06 19:43:07,28.4,61.6,8.4,37.68,
2025-06-06 19:43:09,28.4,62.0,8.3,38.48,
2025-06-06 19:43:11,28.4,62.0,8.3,38.48,
2025-06-06 19:43:13,28.4,61.8,8.4,38.81,
2025-06-06 19:43:15,28.4,61.7,10.1,37.95,
2025-06-06 19:43:17,28.4,61.6,10.0,38.48,
2025-06-06 19:43:19,28.4,61.5,8.4,38.04,
