Tiempo,Temperatura (Â°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-08 23:09:05,28.1,60.6,57.38,37.86
2025-06-08 23:09:07,28.1,60.5,77.08,35.49
2025-06-08 23:09:09,28.1,61.2,77.08,37.86
2025-06-08 23:09:11,28.1,61.8,77.18,38.39
2025-06-08 23:09:13,28.1,61.2,77.16,39.73
2025-06-08 23:09:15,28.1,60.6,77.5,35.72
2025-06-08 23:09:17,28.1,60.4,77.06,36.91
2025-06-08 23:09:19,28.1,60.1,77.16,36.28
2025-06-08 23:09:21,28.1,60.0,77.61,36.5
2025-06-08 23:09:23,28.1,59.8,77.06,37.49
2025-06-08 23:09:25,28.1,59.7,77.61,37.4
2025-06-08 23:09:27,28.1,59.8,77.61,35.6
2025-06-08 23:09:29,28.1,59.8,206.09,35.49
2025-06-08 23:09:31,28.2,59.9,77.16,37.11
2025-06-08 23:09:33,28.1,59.9,76.62,35.49
2025-06-08 23:09:35,28.2,59.8,56.13,39.05
2025-06-08 23:09:37,28.2,60.0,56.54,38.13
2025-06-08 23:09:39,28.1,60.1,55.73,36.17
2025-06-08 23:09:41,28.1,60.0,77.16,35.37
2025-06-08 23:09:43,28.1,60.0,57.39,39.2
2025-06-08 23:09:45,28.2,60.4,56.87,37.01
2025-06-08 23:09:48,28.2,60.7,206.6,32.2
2025-06-08 23:09:50,28.2,60.7,206.13,38.89
2025-06-08 23:09:52,28.2,60.7,77.06,39.43
2025-06-08 23:09:54,28.2,60.6,76.36,39.87
2025-06-08 23:09:56,28.2,60.4,56.13,38.39
2025-06-08 23:09:58,28.2,60.4,77.04,38.72
2025-06-08 23:10:00,28.2,60.4,56.44,38.48
2025-06-08 23:10:02,28.2,60.6,75.92,38.81
2025-06-08 23:10:04,28.2,60.6,77.18,42.14
2025-06-08 23:10:06,28.2,60.5,76.25,37.68
2025-06-08 23:10:08,28.2,60.5,77.62,39.58
2025-06-08 23:10:10,28.3,60.4,76.26,39.13
2025-06-08 23:10:12,28.3,60.2,58.24,36.81
2025-06-08 23:10:14,28.3,60.0,76.74,38.13
2025-06-08 23:10:16,28.3,59.8,77.16,37.3
2025-06-08 23:10:18,28.3,59.7,77.06,57.64
2025-06-08 23:10:20,28.3,59.7,58.34,39.05
2025-06-08 23:10:22,28.3,59.7,78.06,38.22
2025-06-08 23:10:24,28.3,59.7,77.04,36.6
2025-06-08 23:10:26,28.3,59.6,58.23,37.95
2025-06-08 23:10:28,28.3,59.8,206.5,37.77
2025-06-08 23:10:30,28.3,60.9,76.36,36.17
2025-06-08 23:10:32,28.3,60.5,77.06,35.49
2025-06-08 23:10:34,28.3,60.1,76.35,39.73
2025-06-08 23:10:36,28.3,59.8,55.85,37.95
2025-06-08 23:10:38,28.3,59.6,56.27,38.89
2025-06-08 23:10:40,28.3,59.5,57.94,40.76
2025-06-08 23:10:42,28.3,59.5,76.26,38.64
2025-06-08 23:10:44,28.3,59.5,55.83,38.04
2025-06-08 23:10:46,28.3,59.5,57.1,39.43
2025-06-08 23:10:48,28.3,59.2,55.42,38.64
2025-06-08 23:10:50,28.3,59.3,56.27,38.39
2025-06-08 23:10:52,28.3,59.3,206.14,40.36
2025-06-08 23:10:54,28.3,59.3,77.16,37.49
2025-06-08 23:10:56,28.3,59.3,55.85,38.39
2025-06-08 23:10:58,28.3,59.3,76.7,37.68
2025-06-08 23:11:00,28.3,59.3,57.95,39.8
2025-06-08 23:11:02,28.3,59.3,58.34,38.64
2025-06-08 23:11:04,28.3,59.3,58.24,37.21
2025-06-08 23:11:06,28.3,59.3,76.89,38.97
2025-06-08 23:11:08,28.3,59.3,55.86,38.31
2025-06-08 23:11:10,28.3,59.3,77.25,40.02
